scope,term,label,coef_log_odds,cluster_robust_se,z,p_value,odds_ratio,ci_low,ci_high,n_pairs,n_conversations,log_likelihood,formula,se_type,notes
"six task settings, model/source FE, rows with three prior assistant responses",Intercept,Intercept,-3.915931,0.303675,-12.895118,4.7953e-38,0.019922,0.010986,0.036127,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",assistant_current_scaffolded,Current assistant response scaffolded,0.077759,0.035901,2.165937,0.030316,1.080862,1.007421,1.159657,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",assistant_lag1_scaffolded,Previous assistant response scaffolded,0.143000,0.036616,3.905408,9.40667e-05,1.153730,1.073831,1.239574,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",assistant_lag2_scaffolded,Two assistant responses earlier scaffolded,0.154653,0.036289,4.261687,2.0289e-05,1.167253,1.087114,1.253299,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",assistant_lag3_scaffolded,Three assistant responses earlier scaffolded,0.157020,0.035189,4.462241,8.11068e-06,1.170019,1.092043,1.253563,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",user_current_constructive,Immediate prior user turn constructive,1.630535,0.045277,36.012115,5.40607e-284,5.106607,4.672955,5.580503,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",user_lag1_constructive,One user turn earlier constructive,1.090263,0.048320,22.563514,9.89423e-113,2.975056,2.706229,3.270587,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",user_lag2_constructive,Two user turns earlier constructive,0.921340,0.051821,17.779178,1.02471e-70,2.512655,2.269978,2.781276,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",user_lag3_constructive,Three user turns earlier constructive,0.926751,0.048771,19.002209,1.63516e-80,2.526288,2.295982,2.779696,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",user_current_active,Immediate prior user turn active,0.590774,0.037232,15.867172,1.06953e-56,1.805385,1.678328,1.942061,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",user_lag1_active,One user turn earlier active,0.297961,0.038228,7.794282,6.47757e-15,1.347109,1.249863,1.451922,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",user_lag2_active,Two user turns earlier active,0.304306,0.037107,8.200736,2.3892e-16,1.355684,1.260585,1.457957,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",user_lag3_active,Three user turns earlier active,0.389274,0.036254,10.737355,6.79636e-27,1.475909,1.374673,1.584601,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",prior_user_emotional,prior_user_emotional,0.555432,0.122337,4.540182,5.62056e-06,1.742694,1.371153,2.214913,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",prior_user_error,prior_user_error,0.373544,0.055722,6.703707,2.03197e-11,1.452874,1.302556,1.620540,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",intentional_framing,Intentional framing,0.031736,0.033257,0.954269,0.339948,1.032245,0.967105,1.101773,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",coding_task,Coding task ecology,0.109193,0.077634,1.406513,0.159572,1.115378,0.957941,1.298689,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",log_assistant_turn_index,log_assistant_turn_index,-0.158935,0.031372,-5.066068,4.06118e-07,0.853052,0.802178,0.907152,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::alpaca-13b,model_LMSYS::alpaca-13b,-0.242755,0.318895,-0.761240,0.446514,0.784463,0.419879,1.465620,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::chatglm-6b,model_LMSYS::chatglm-6b,-0.803587,0.495497,-1.621778,0.104851,0.447720,0.169524,1.182450,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::claude-1,model_LMSYS::claude-1,-0.287462,0.333448,-0.862089,0.388639,0.750165,0.390229,1.442094,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::claude-instant-1,model_LMSYS::claude-instant-1,0.160183,0.379668,0.421903,0.673096,1.173726,0.557682,2.470285,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::dolly-v2-12b,model_LMSYS::dolly-v2-12b,0.296627,0.372842,0.795582,0.426275,1.345313,0.647819,2.793786,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::fastchat-t5-3b,model_LMSYS::fastchat-t5-3b,-0.187707,0.508631,-0.369043,0.712096,0.828858,0.305861,2.246133,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::gpt-3.5-turbo,model_LMSYS::gpt-3.5-turbo,-0.777305,0.527428,-1.473764,0.140545,0.459643,0.163480,1.292340,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::gpt-4,model_LMSYS::gpt-4,0.483491,0.323207,1.495919,0.134675,1.621726,0.860713,3.055601,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::gpt4all-13b-snoozy,model_LMSYS::gpt4all-13b-snoozy,-0.289492,0.499498,-0.579565,0.562208,0.748644,0.281251,1.992768,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::guanaco-33b,model_LMSYS::guanaco-33b,0.187767,0.549636,0.341621,0.732636,1.206553,0.410853,3.543283,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::koala-13b,model_LMSYS::koala-13b,-0.041314,0.313124,-0.131942,0.89503,0.959528,0.519422,1.772533,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::llama-13b,model_LMSYS::llama-13b,-0.033868,0.454345,-0.074542,0.940579,0.966699,0.396776,2.355252,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::llama-2-13b-chat,model_LMSYS::llama-2-13b-chat,-0.289274,0.357813,-0.808449,0.418832,0.748807,0.371358,1.509895,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::mpt-30b-chat,model_LMSYS::mpt-30b-chat,0.690931,0.505755,1.366139,0.171895,1.995573,0.740560,5.377426,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::mpt-7b-chat,model_LMSYS::mpt-7b-chat,0.040344,0.398606,0.101213,0.919381,1.041169,0.476674,2.274162,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::oasst-pythia-12b,model_LMSYS::oasst-pythia-12b,0.103113,0.372535,0.276788,0.781943,1.108617,0.534162,2.300859,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::palm-2,model_LMSYS::palm-2,0.329300,0.467555,0.704301,0.481245,1.389995,0.555932,3.475395,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::stablelm-tuned-alpha-7b,model_LMSYS::stablelm-tuned-alpha-7b,-0.870104,0.677877,-1.283572,0.199292,0.418908,0.110943,1.581754,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::vicuna-13b,model_LMSYS::vicuna-13b,-0.000233,0.285182,-0.000818,0.999347,0.999767,0.571672,1.748440,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::vicuna-33b,model_LMSYS::vicuna-33b,-0.056372,0.356189,-0.158264,0.874249,0.945187,0.470245,1.899818,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::vicuna-7b,model_LMSYS::vicuna-7b,-0.487008,0.456230,-1.067461,0.285764,0.614462,0.251272,1.502609,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::wizardlm-13b,model_LMSYS::wizardlm-13b,-0.080633,0.414055,-0.194739,0.845597,0.922533,0.409761,2.076982,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_ShareChat::chatgpt,model_ShareChat::chatgpt,0.612208,0.287833,2.126957,0.0334237,1.844500,1.049229,3.242553,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_ShareChat::claude,model_ShareChat::claude,0.712230,0.401146,1.775485,0.0758178,2.038531,0.928656,4.474866,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_ShareChat::gemini,model_ShareChat::gemini,1.221847,0.301210,4.056458,4.98225e-05,3.393449,1.880381,6.124020,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_ShareChat::grok,model_ShareChat::grok,0.454083,0.419034,1.083642,0.278524,1.574729,0.692654,3.580099,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-3.5-turbo,model_WildChat::gpt-3.5-turbo,0.038699,0.285472,0.135560,0.892169,1.039457,0.594029,1.818886,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-3.5-turbo-0125,model_WildChat::gpt-3.5-turbo-0125,-0.193413,0.298430,-0.648102,0.516919,0.824141,0.459170,1.479212,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-3.5-turbo-0301,model_WildChat::gpt-3.5-turbo-0301,0.014372,0.293154,0.049027,0.960898,1.014476,0.571089,1.802104,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-3.5-turbo-0613,model_WildChat::gpt-3.5-turbo-0613,-0.105409,0.287871,-0.366168,0.71424,0.899956,0.511895,1.582202,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4,model_WildChat::gpt-4,0.524114,0.300042,1.746803,0.0806715,1.688962,0.938035,3.041031,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4-0125-preview,model_WildChat::gpt-4-0125-preview,-0.066803,0.294270,-0.227011,0.820415,0.935380,0.525412,1.665236,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4-0314,model_WildChat::gpt-4-0314,0.381768,0.327219,1.166706,0.243329,1.464872,0.771375,2.781853,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4-1106-preview,model_WildChat::gpt-4-1106-preview,0.190568,0.290009,0.657110,0.51111,1.209936,0.685334,2.136106,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4-turbo-2024-04-09,model_WildChat::gpt-4-turbo-2024-04-09,-0.082130,0.321579,-0.255396,0.798417,0.921152,0.490454,1.730074,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4.1-mini-2025-04-14,model_WildChat::gpt-4.1-mini-2025-04-14,-0.440685,0.302150,-1.458497,0.144704,0.643595,0.355973,1.163612,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4o-2024-05-13,model_WildChat::gpt-4o-2024-05-13,-0.041785,0.292633,-0.142790,0.886456,0.959076,0.540454,1.701951,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4o-2024-08-06,model_WildChat::gpt-4o-2024-08-06,0.059782,0.288205,0.207428,0.835676,1.061605,0.603445,1.867617,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4o-2024-11-20,model_WildChat::gpt-4o-2024-11-20,-0.125142,0.333218,-0.375555,0.707248,0.882372,0.459209,1.695480,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_WildChat::gpt-4o-mini-2024-07-18,model_WildChat::gpt-4o-mini-2024-07-18,-0.284538,0.289395,-0.983216,0.325501,0.752362,0.426667,1.326676,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
