section,model_type,adjustment,term,label,coef_log_odds,se,z,p_value,estimate_type,estimate,ci_low,ci_high,n_conversations,n_user_turns,n_constructive_turns,log_likelihood,model_source_reference,n_recoverable_model_source_levels,n_model_source_fixed_effects,formula,se_type,notes
2.4,grouped-binomial constructive-turn rate,dataset FE,has_M1,M1 feedback,0.690807,0.025916,26.655404,1.54929e-156,odds ratio,1.995325,1.896502,2.099297,66816,288721,18892,-64791.216447,,0,0,Cog_C_count out of user_turns ~ M1 + M2 + M3 + M4 + M5 + M6 + user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Pooled Section 2.4 sensitivity restricted to conversations containing scaffolded support; support-form labels are non-exclusive and entered jointly.
2.4,grouped-binomial constructive-turn rate,dataset FE,has_M2,M2 hinting,0.312712,0.025741,12.148257,5.86018e-34,odds ratio,1.367127,1.299863,1.437872,66816,288721,18892,-64791.216447,,0,0,Cog_C_count out of user_turns ~ M1 + M2 + M3 + M4 + M5 + M6 + user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Pooled Section 2.4 sensitivity restricted to conversations containing scaffolded support; support-form labels are non-exclusive and entered jointly.
2.4,grouped-binomial constructive-turn rate,dataset FE,has_M3,M3 instructing,-0.078714,0.023815,-3.305293,0.000948772,odds ratio,0.924304,0.882152,0.968470,66816,288721,18892,-64791.216447,,0,0,Cog_C_count out of user_turns ~ M1 + M2 + M3 + M4 + M5 + M6 + user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Pooled Section 2.4 sensitivity restricted to conversations containing scaffolded support; support-form labels are non-exclusive and entered jointly.
2.4,grouped-binomial constructive-turn rate,dataset FE,has_M4,M4 explaining,1.033019,0.031279,33.026400,3.3949e-239,odds ratio,2.809535,2.642467,2.987165,66816,288721,18892,-64791.216447,,0,0,Cog_C_count out of user_turns ~ M1 + M2 + M3 + M4 + M5 + M6 + user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Pooled Section 2.4 sensitivity restricted to conversations containing scaffolded support; support-form labels are non-exclusive and entered jointly.
2.4,grouped-binomial constructive-turn rate,dataset FE,has_M5,M5 modelling,-0.255424,0.024600,-10.382992,2.96338e-25,odds ratio,0.774588,0.738127,0.812851,66816,288721,18892,-64791.216447,,0,0,Cog_C_count out of user_turns ~ M1 + M2 + M3 + M4 + M5 + M6 + user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Pooled Section 2.4 sensitivity restricted to conversations containing scaffolded support; support-form labels are non-exclusive and entered jointly.
2.4,grouped-binomial constructive-turn rate,dataset FE,has_M6,M6 questioning,-0.378110,0.033489,-11.290469,1.46254e-29,odds ratio,0.685155,0.641626,0.731637,66816,288721,18892,-64791.216447,,0,0,Cog_C_count out of user_turns ~ M1 + M2 + M3 + M4 + M5 + M6 + user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Pooled Section 2.4 sensitivity restricted to conversations containing scaffolded support; support-form labels are non-exclusive and entered jointly.
2.4,grouped-binomial constructive-turn rate,model/source FE,has_M1,M1 feedback,0.703929,0.025962,27.113654,6.7971e-162,odds ratio,2.021681,1.921380,2.127218,66816,288721,18892,-64516.022199,LMSYS::RWKV-4-Raven-14B,44,39,Cog_C_count out of user_turns ~ M1 + M2 + M3 + M4 + M5 + M6 + user framing + task ecology + length bucket + model/source fixed effects,conversation-robust sandwich,Pooled Section 2.4 sensitivity restricted to conversations containing scaffolded support; support-form labels are non-exclusive and entered jointly.
2.4,grouped-binomial constructive-turn rate,model/source FE,has_M2,M2 hinting,0.306208,0.025939,11.805005,3.67768e-32,odds ratio,1.358265,1.290937,1.429105,66816,288721,18892,-64516.022199,LMSYS::RWKV-4-Raven-14B,44,39,Cog_C_count out of user_turns ~ M1 + M2 + M3 + M4 + M5 + M6 + user framing + task ecology + length bucket + model/source fixed effects,conversation-robust sandwich,Pooled Section 2.4 sensitivity restricted to conversations containing scaffolded support; support-form labels are non-exclusive and entered jointly.
2.4,grouped-binomial constructive-turn rate,model/source FE,has_M3,M3 instructing,-0.081805,0.024119,-3.391705,0.000694591,odds ratio,0.921452,0.878905,0.966058,66816,288721,18892,-64516.022199,LMSYS::RWKV-4-Raven-14B,44,39,Cog_C_count out of user_turns ~ M1 + M2 + M3 + M4 + M5 + M6 + user framing + task ecology + length bucket + model/source fixed effects,conversation-robust sandwich,Pooled Section 2.4 sensitivity restricted to conversations containing scaffolded support; support-form labels are non-exclusive and entered jointly.
2.4,grouped-binomial constructive-turn rate,model/source FE,has_M4,M4 explaining,1.018151,0.031569,32.251223,3.38176e-228,odds ratio,2.768072,2.601986,2.944759,66816,288721,18892,-64516.022199,LMSYS::RWKV-4-Raven-14B,44,39,Cog_C_count out of user_turns ~ M1 + M2 + M3 + M4 + M5 + M6 + user framing + task ecology + length bucket + model/source fixed effects,conversation-robust sandwich,Pooled Section 2.4 sensitivity restricted to conversations containing scaffolded support; support-form labels are non-exclusive and entered jointly.
2.4,grouped-binomial constructive-turn rate,model/source FE,has_M5,M5 modelling,-0.248291,0.024850,-9.991571,1.65932e-23,odds ratio,0.780133,0.743046,0.819071,66816,288721,18892,-64516.022199,LMSYS::RWKV-4-Raven-14B,44,39,Cog_C_count out of user_turns ~ M1 + M2 + M3 + M4 + M5 + M6 + user framing + task ecology + length bucket + model/source fixed effects,conversation-robust sandwich,Pooled Section 2.4 sensitivity restricted to conversations containing scaffolded support; support-form labels are non-exclusive and entered jointly.
2.4,grouped-binomial constructive-turn rate,model/source FE,has_M6,M6 questioning,-0.360811,0.033967,-10.622468,2.34284e-26,odds ratio,0.697111,0.652212,0.745101,66816,288721,18892,-64516.022199,LMSYS::RWKV-4-Raven-14B,44,39,Cog_C_count out of user_turns ~ M1 + M2 + M3 + M4 + M5 + M6 + user framing + task ecology + length bucket + model/source fixed effects,conversation-robust sandwich,Pooled Section 2.4 sensitivity restricted to conversations containing scaffolded support; support-form labels are non-exclusive and entered jointly.
